head,modified_head
aliŋíiŋ,li0ŋí2qiŋ0
aliŋísi,li0ŋí2si0
aliŋísig,li0ŋí2sig0
aliŋísŋis,li0ŋís2ŋis0
aliŋít,li0ŋít1
aliŋitíŋ,li0ŋi0tíŋ1
aliŋkawás,liŋ0ka0wás1
aliŋúgŋug,li0ŋúg2ŋug0
alinsúub,lin0sú2qub0
alintabú,lin0ta0bú1
alinupúŋ,li0nu0púŋ1
alipádnu,li0pád2nu0
alipádsay,li0pád2say0
alipánti,li0pán2ti0
alipasá,li0pa0sá1
alipáta,li0pá2ta0
alipátaq,li0pá2taq0
alipátpat,li0pát2pat0
alípqip,líp2qip0
alípqip,líp2qip0
alipúlu,li0pú2lu0
alipúluŋ,li0pú2luŋ0
alipuŋá,li0pu0ŋá1
alipuŋáq,li0pu0ŋáq1
alipúŋa,li0pú2ŋa0
alipúŋa,li0pú2ŋa0
aliputú,li0pu0tú1
alipútu,li0pú2tu0
alíraw,lí2raw0
alírdyik,qírdyik0
alíruŋ,lí2ruŋ0
alísbu,lís2bu0
alísbuŋ,lís2buŋ0
alísdan,lís2dan0
alísdi,lís2di0
alisíwsiw,li0síw2siw0
alísŋaw,lís2ŋaw0
paŋalísŋaw,pa0ŋa0lís2ŋaw0
inalísŋaw,na0lís2ŋaw0
alístu,lís2tu0
alisúksuk,li0súk2suk0
alitúndan,li0tún2dan0
aliwálaŋ,li0wá2laŋ0
aliwarús,li0wa0rús1
aliwárus,li0wá2rus0
alíwas,lí2was0
alíwasun,líwa0sun0
aliwasá,li0wa0sá1
aliwása,li0wá2sa0
aliyúpyup,li0yúp2yup0
alkabála,qal0ka0bá2la0
alkáldi,qal0kál2di0
alkámpur,qal0kám2pur0
alkampuradú,qal0kam0pu0ra0dú1
dialkámpur,di0qial0kám2qur0
alkánsi,qal0kán2si0
alkansíya,qal0kan0sí2ya0
alkáydi,qal0káy2di0
alkilá,qal0ki0lá1
alkítran,qal0kít2ran0
alkúba,qal0kú2ba0
alkuhíris,qal0ku0hí2ris0
alkuhúl,qal0ku0húl1
alkuhulíra,qal0ku0hu0lí2ra0
alkúmbra,qal0qúmbra0
alkúntra,qal0qúntra0
almágri,qal0mág2ri0
almamátir,qal0ma0má2tir0
almanáki,qal0ma0ná2ki0
almasíga,qal0ma0sí2ga0
almasín,qal0ma0sín1
almíndras,qal0qíndras0
almiránti,qal0mi0rán2ti0
almirís,qal0mi0rís1
almirúl,qal0mi0rúl1
almismutyímpu,qal0mis0mut0yím2pu0
almuháda,qal0mu0há2da0
almuhadún,qal0mu0ha0dún1
almundigás,qal0mun0di0gás1
almunída,qal0mu0ní2da0
almuránas,qal0mu0rá2nas0
álpa,qálpa0
paŋálpa,pa0ŋál2pa0
alpabitayís,qal0pa0bi0ta0yís1
alpáka,qal0pá2ka0
alpálpa,qal0pál2pa0
alpalpahán,qal0pal0pa0hán1
alpilír,qal0pi0lír1
paŋalpilír,pa0ŋal0pi0lír1
alpiríl,qal0pi0ríl1
alpirín,qal0pi0rín1
alpirisíya,qal0pi0ri0sí2ya0
alpúmbra,qal0qúmbra0
alpunsínu,qal0pun0sí2nu0
álput,qálput0
álsa,qálsa0
inálsa,nál2sa0
alsamyíntu,qal0sam0yín2tu0
álta,qálta0
diálta,di0qiálqa0
áltar,qáltar0
áltu,qáltu0
áltu,qáltu0
alú,lú1
aluálu,lu0quáqu0
alualuhán,lu0qua0lu0qán
maalualuhún,ma0qaa0lu0qua0lu0qún
aluhánay,lu0há2nay0
áluq,luq0
alubíhid,lu0bí2hid0
alúdqud,lúd2qud0
aludqúdun,lud0qú2dun0
alúg,lúg1
alugbáti,lug0bá2ti0
alúgqug,lúg2qug0
aluhánay,lu0há2nay0
aluhípan,lu0hí2pan0
alukabá,lu0ka0bá1
alukábhaŋ,lu0káb2haŋ0
alúla,lú2la0
alúm,lúm1
alúman,lú2man0
álum,lum0
alúmun,lú2mun0
álum,lum0
aluminúm,lu0mi0núm1
